"新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"寶山鄉新城村寶新路2段小型工程(35-29)","寶山鄉","5","5","一般建築及設備其它","公共設施工程","寶山鄉公所","無","辦理中"
"北埔鄉南埔村2鄰翁宅邊裝設路燈工程(36-14)","北埔鄉","10","10","一般建築及設備其它","公共設施工程","北埔鄉公所","無","文仁水電"
"北埔鄉大湖村裝設路燈工程(36-16)","北埔鄉","80","80","一般建築及設備其它","公共設施工程","北埔鄉公所","無","文仁水電"
"關西鎮南新里5鄰擋土牆工程(22-16)","關西鎮","93","93","一般建築及設備其它","公共設施工程","關西鎮公所","無","振新土木包工"
"新埔鎮鹿鳴里4鄰29-1號路燈1盞工程(23-34)","新埔鎮","20","20","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"新埔鎮新北里竹71線涼傘亭旁路燈2盞工程(23-35)","新埔鎮","40","40","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"第 4 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"新埔鎮北平里張厝旁村道路燈1盞工程(23-36)","新埔鎮","20","20","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"新埔鎮鹿鳴里2鄰段路燈1盞工程(23-37)","新埔鎮","20","20","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"湖口鄉東興村東興集會所遮雨棚工程(16-9)","湖口鄉","98","98","一般建築及設備其它","公共設施工程","湖口鄉公所","無","辦理中"
"橫山鄉大肚村2鄰自來水改善工程(27-38)","橫山鄉","50","50","一般建築及設備其它","公共設施工程","橫山鄉公所","無","盛良水電"
"尖石鄉新樂村23地路面改善工程(31-13)","尖石鄉","95","95","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"新豐鄉中崙村8鄰週邊道路排水溝加蓋工程(18-29)","新豐鄉","95","95","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"尖石鄉秀巒村灌溉飲水設施(38-14)","尖石鄉","95","95","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"新豐鄉坡頭村道路AC加封工程(17-24)","新豐鄉","98","98","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"關西鎮石光里479號後方道路鋪設水泥路面(6-7)","關西鎮","92","92","一般建築及設備其它","公共設施工程","關西鎮公所","無","九洲營造"
"竹北市鳳岡長春農業技術協會充實設備(6-8)","竹北市","98","98","一般建築及設備其它","公共設施工程","竹北市公所","無","辦理中"
"新竹縣竹北市十興國民小學改善教學設備費(1-24)","竹北市","140","140","一般建築及設備其它","公共設施工程","竹北市公所","逕洽廠商","全韻文化企業.博弘公司.嘉宏系統"
"新豐鄉新豐村15鄰處道路及排水溝工程(1-25)","新豐鄉","200","200","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"竹北市蔬菜(芋頭)產銷班第23班充實設備費(6-10)","竹北市","80","80","一般建築及設備其它","公共設施工程","竹北市公所","無","辦理中"
"新竹縣慢壘球場小型工程(7-16)","竹北市","198","198","一般建築及設備其它","公共設施工程","竹北市公所","逕洽廠商","永全工程.金良興","窯業","新竹縣北埔鄉北埔國民小學廁所通風照明與教學","設備(8-13)","北埔鄉","92","92","一般建築及設備其它","公共設施工程","北埔鄉公所","無","平安科技.東鑫電","器"
"新豐鄉長春福德發展協會購置設備(17-25)","新豐鄉","95","95","一般建築及設備其它","公共設施工程","新豐鄉公所","無","家成宇"
"新豐鄉中崙社區發展協會(中崙社區廣場舞蹈健身班)","購置設備","新豐鄉","30","30","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新埔鎮四座里監視器維修工程(23-38)","新埔鎮","30","30","一般建築及設備其它","公共設施工程","新埔鎮公所","無","尚昌"
"第 5 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"新埔鎮照門里6鄰等二處路燈2盞工程(23-39)","新埔鎮","40","40","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"竹東鎮體育會桌球委員會充實設備(30-12)","竹東鎮","45","45","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","羅蜜歐電腦"
"竹東鎮二重派出所改善辦公廳舍及值班台工程(30-1","3","竹東鎮","99","99","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","宜昌裝潢材料行"
"竹東鎮上館社區巡守隊屋頂排水設施改善(32-18)","竹東鎮","70","70","一般建築及設備其它","公共設施工程","竹東鎮公所","有","規劃設計中"
"竹北市家和幸福發展協會設備費(1-26)","竹北市","86","86","一般建築及設備其它","公共設施工程","竹北市公所","有","規劃設計中"
"新豐鄉埔和村候車亭維修工程(17-27)","新豐鄉","30","30","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新竹縣新豐鄉重興社區發展協會充實設備(18-30)","新豐鄉","95","95","一般建築及設備其它","公共設施工程","新豐鄉公所","有","泉弘企業"
"新埔鎮上寮社區發展協會購置銅鑼框架(25-47)","新埔鎮","12","12","一般建築及設備其它","公共設施工程","新埔鎮公所","無","金陽昌"
"竹東鎮榮樂里辦公處充實設備(33-15)","竹東鎮","86","86","一般建築及設備其它","公共設施工程","竹東鎮公所","無","承寶企業"
"竹東鎮大同社區發展協會充實設備(33-16)","竹東鎮","15","15","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","政昌櫥具行"
"北埔鄉北埔社區活動中心二樓充實社區設備(36-17)","北埔鄉","90","90","一般建築及設備其它","公共設施工程","北埔鄉公所","無","辦理中"
"峨眉鄉七星村15鄰充實設備(36-15)","北埔鄉","70","70","一般建築及設備其它","公共設施工程","北埔鄉公所","無","辦理中"
"新竹縣立仁愛國民中學充實設備(2-33)","竹北市","90","90","一般建築及設備其它","公共設施工程","竹北市公所","逕洽廠商","詠大消防安全.瑞","宏企業"
"新竹縣寶山鄉雙溪國民小學木座平台工程(8-15)","寶山鄉","98","98","一般建築及設備其它","公共設施工程","寶山鄉公所","逕洽廠商","紅樹營造.秀才科","技"
"新埔鎮上寮里義民路2段315巷.東西八路路燈1盞工程(2","3","新埔鎮","20","20","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"新埔鎮鹿鳴集會所週邊路燈3盞工程(23-42)","新埔鎮","60","60","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"關西鎮仁安里拱子溝排水改善工程(22-17)","關西鎮","90","90","一般建築及設備其它","公共設施工程","關西鎮公所","無","九洲營造"
"寶山鄉油田村三油一路151號裝設路燈1盞工程(35-","30)","寶山鄉","15","15","一般建築及設備其它","公共設施工程","寶山鄉公所","無","龍昌水電"
"第 6 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"寶山鄉大坪一路18號社區路口處小型工程(35-31)","寶山鄉","6","6","一般建築及設備其它","公共設施工程","寶山鄉公所","有","規劃設計中"
"新竹縣立交響管樂團購置樂器(39-18)","竹北市","350","350","一般建築及設備其它","公共設施工程","竹北市公所","共同供應","政新國際藝術"
"新竹縣湖口鄉新湖國民小學充實專科教室網路電","話機設備工程(12-5)","湖口鄉","90","90","一般建築及設備其它","公共設施工程","湖口鄉公所","逕洽廠商","政揚企業"
"新豐鄉埔和村.上坑村等危險路段路燈裝設工程(17-","28)","新豐鄉","45","45","一般建築及設備其它","公共設施工程","新豐鄉公所","開口契約","秀星興"
"新竹縣湖口鄉新湖國民小學小型工程(19-15)","湖口鄉","90","90","一般建築及設備其它","公共設施工程","湖口鄉公所","逕洽廠商","宜欣裝璜建材"
"新埔鎮五埔社區發展協會社區設備費(23-43)","新埔鎮","22","22","一般建築及設備其它","公共設施工程","新埔鎮公所","無","永大企業"
"新埔鎮照門里7鄰路燈1盞工程(23-44)","新埔鎮","20","20","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"新埔鎮內立里雲東段道路改善工程(23-45)","新埔鎮","95","95","一般建築及設備其它","公共設施工程","新埔鎮公所","無","辦理中"
"橫山鄉新興村飲用水改善工程(27-39)","橫山鄉","40","40","一般建築及設備其它","公共設施工程","橫山鄉公所","無","全宇水電"
"新竹縣湖口鄉新湖國民小學設備費(28-15)","湖口鄉","98","98","一般建築及設備其它","公共設施工程","湖口鄉公所","逕洽廠商","德全電業工程行"
"新竹縣立自強國民中學設備費(28-16)","竹東鎮","95","95","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","鴻銳國際體育設","備有限公司"
"新竹縣竹東鎮陸豐國民小學購置辦公設備(31-14)","竹東鎮","72","72","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","東昌金屬木器傢","俱行"
"北埔鄉農會充實設備(36-20)","北埔鄉","200","200","一般建築及設備其它","公共設施工程","北埔鄉公所","無","辦理中"
"關西鎮南和里民眾活動中心環境改善工程(21-16)","關西鎮","98","98","一般建築及設備其它","公共設施工程","關西鎮公所","無","開元實業社"
"湖口鄉鳳山村社區活動中心後廣場路燈附掛工程(13-","5","湖口鄉","28","28","一般建築及設備其它","公共設施工程","湖口鄉公所","無","秀星興"
"湖口鄉德盛村排水改善工程(15-4)","湖口鄉","60","60","一般建築及設備其它","公共設施工程","湖口鄉公所","無","辦理中"
"湖口鄉各村路燈工程(16-10)","湖口鄉","100","100","一般建築及設備其它","公共設施工程","湖口鄉公所","無","秀星興"
"新埔鎮南平里南平路667巷99號道路駁坎崩塌修復","工程(25-48)","新埔鎮","200","200","一般建築及設備其它","公共設施工程","新埔鎮公所","有","德鴻營造"
"第 7 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"竹東鎮中興路2段152巷口小型工程(29-24)","竹東鎮","8","8","一般建築及設備其它","公共設施工程","竹東鎮公所","無","辦理中"
"竹東鎮瑞峰里路燈工程(29-25)","竹東鎮","50","50","一般建築及設備其它","公共設施工程","竹東鎮公所","無","金順發企業社"
"新竹縣竹東鎮陸豐國民小學改善水槽工程(31-15)","竹東鎮","38","38","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","大元水電工程行"
"尖石鄉玉峰村12鄰部落灌溉水管設施(38-15)","尖石鄉","98","98","一般建築及設備其它","公共設施工程","尖石鄉公所","有","辦理中"
"新竹縣農會擴充設備(11-10)","芎林鄉","90","90","一般建築及設備其它","公共設施工程","芎林鄉公所","無","辦理中"
"新豐鄉中崙村4鄰排水溝加蓋工程(18-31)","新豐鄉","97","97","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
