"單位：千元"
" 核定金額","經","費","支","用","科","目","主","辦","機","關","招","標","方","式","得","標","廠","商"
"新埔鎮文山里2鄰關埔路水車頭段819巷旁排水溝改善工程(23-15)","新埔鎮","30","30","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","育杰營造"
"寶山鄉新城村寶新路2段道路週邊環境改善工程(35-24)","寶山鄉","50","50","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","利逢營造"
"尖石鄉玉峰村13鄰部落(宇抬高幹322.E4356.BD97)路燈裝設工程(38-6)","尖石鄉","20","20","一般建築及設備其它公共設施工程","尖石鄉公所","逕洽廠商","文明水電"
"新竹縣湖口鄉華興國民小學充實設備(12-3)","湖口鄉","98","98","一般建築及設備其它公共設施工程","湖口鄉公所","辦理中","-"
"新豐鄉上坑村8鄰道路柏油路面加封工程(19-10)","新豐鄉","98","98","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","明加營造"
"新竹縣新豐鄉山崎社區發展協會(海棠土風舞班)充實設備(20-4)","新豐鄉","100","100","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"北埔鄉外坪村8鄰路燈新設工程(31-5)","北埔鄉","38","38","一般建築及設備其它公共設施工程","北埔鄉公所","逕洽廠商","文仁水電"
"新竹縣寶山鄉雙溪國民小學充實設備(35-25)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","韓昌福光能.信億鋁門窗","新竹縣寶山鄉寶山國民小學充實設備(35-26)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","丹燕廣告.欣","鑫數位新竹縣寶山鄉新城國民小學充實設備(35-27)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","韓昌福光能科技.百利裝潢","關西鎮新富里3鄰及12鄰水泥路面及排水溝蓋工程(2-3)","關西鎮","98","98","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","開元實業社"
"寶山鄉油田村新湖路2段45巷裝設路燈3盞(2-4)","寶山鄉","45","45","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉油田村新湖路2段45巷裝設路燈2盞(2-5)","寶山鄉","30","30","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉寶斗村寶深路25巷裝設路燈2盞(2-6)","寶山鄉","30","30","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉寶斗村新珊路381巷裝設路燈1盞(2-7)","寶山鄉","15","15","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉寶斗村新珊路143巷裝設路燈1盞(2-8)","寶山鄉","15","15","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉寶斗村新珊二路萬菓橋至65巷口裝設路燈2盞(2-9)","寶山鄉","30","30","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉寶斗村新珊一路底裝設路燈3盞(2-10)","寶山鄉","45","45","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉寶斗村新珊路底裝設路燈1盞(2-11)","寶山鄉","15","15","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉寶斗村寶深1路裝設路燈2盞(2-12)","寶山鄉","30","30","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉深井村8鄰雙林路2段涵管工程(2-13)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","辦理中"
"寶山鄉深井村5鄰雙林路1段鋪設柏油路面工程(2-14)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","辦理中"
"新豐鄉新豐村池府路185巷道路AC加封工程(17-3)","新豐鄉","96","96","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","明加營造"
"新埔鎮四座里辦公處購買鏈鋸乙組(25-3)","新埔鎮","15","15","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","永大新埔鎮清水里3鄰新設路燈1盞(25-4)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮下寮里義民路3段753巷新設路燈1盞(25-5)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮清水里5鄰整修道路鋪設水泥路面工程(25-6)","新埔鎮","35","35","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","育杰營造"
"新埔鎮鹿鳴里9鄰道路改善工程(25-7)","新埔鎮","50","50","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮寶石里6鄰鄰駁坎工程(25-9)","新埔鎮","80","80","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"峨眉分駐所內部設備及油漆工程(36-2)","峨眉鄉","40","40","一般建築及設備其它公共設施工程","峨眉鄉公所","辦理中","-"
"新埔鎮關埔路雲東段2巷改善柏油路面工程(23-16)","新埔鎮","100","100","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","易明土木"
"新埔鎮新北里7鄰段蔡宅旁路面改善工程(23-17)","新埔鎮","30","30","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","昀宜營造"
"新埔鎮照門里8鄰段路面加封工程(23-18)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","育杰營造"
"二重義消救護分隊電腦設備(30-6)","竹東鎮","30","30","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","如意企業社"
"尖石鄉秀巒村10鄰錦路部落農路改善工程(38-3)","尖石鄉","70","70","一般建築及設備其它公共設施工程","尖石鄉公所","逕洽廠商","穿山甲土木"
"尖石鄉秀巒村6鄰泰崗部落農路改善工程(38-4)","尖石鄉","95","95","一般建築及設備其它公共設施工程","尖石鄉公所","逕洽廠商","穿山甲土木"
"尖石鄉玉峰村石磊段第831.349.359號農地灌溉設施(38-5)","尖石鄉","85","85","一般建築及設備其它公共設施工程","尖石鄉公所","逕洽廠商","文明水電"
"新竹縣竹北市豐田國民小學充實設備(5-6)(桌球發球機.球具組.柔力球具組)","竹北市","80","80","一般建築及設備其它公共設施工程","竹北市公所","逕洽廠商","睿祥桌球體育.名將體育","關西鎮上林社區發展協會擴充設備(影印機)(21-3)","關西鎮","95","95","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-關西鎮玉山里7.8.9鄰產業道路鋪設水泥路面(21-4)","關西鎮","98","98","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","龍騰土木包工"
